Date	Title	URL
23-Dec-2014	Your App Is Good And You Should Feel Good	http://metalbat.com/feel-good/
6-Jan-2015	10 tips for conquering public speaking nerves	http://www.managementtoday.co.uk/news/1325232/10-tips-conquering-public-speaking-nerves/
6-Jan-2015	Workshop: What goes into a TED-quality talk, 15 April in Cambridge, UK	http://eloquentwoman.blogspot.co.uk/2014/12/workshop-what-goes-into-ted-quality.html
6-Jan-2015	The Eloquent Woman's top 10 public speaking posts for 2014	http://eloquentwoman.blogspot.co.uk/2014/12/the-eloquent-womans-top-10-public.html
6-Jan-2015	2014's top 10 Famous Speech Friday posts on The Eloquent Woman	http://eloquentwoman.blogspot.co.uk/2014/12/2014s-top-10-famous-speech-friday-posts.html
6-Jan-2015	How to ask to get paid to speak	http://seb.ly/2014/05/how-to-ask-to-get-paid-to-speak/
6-Jan-2015	A Formula for Speaking Fees	http://www.thenerdary.net/post/84544230452/a-formula-for-speaking-fees
6-Jan-2015	New Year Resolution: Be a public speaker	http://blog.sqisland.com/2012/01/new-year-resolution-be-public-speaker.html
6-Jan-2015	Inspiring the next generation of female engineers: Debbie Sterling at TEDxPSU	https://www.youtube.com/watch?v=FEeTLopLkEo
13-Jan-2015	PUBLIC SPEAKING AS PERFORMANCE	http://www.catehuston.com/blog/2014/10/20/public-speaking-as-performance/
13-Jan-2015	You should give talks. They will be awesome. Here's why!	http://jvns.ca/blog/2014/01/12/public-speaking/
13-Jan-2015	Hassle free slidedeck hosting	http://slidr.io/
13-Jan-2015	Art + Data Day: Interrogating the SFMOMA API through Participatory Design	http://www.sfmoma.org/about/research_projects/lab/art_data_day_summary
13-Jan-2015	Designing an OpenStack Summit Session Submission for Success	http://openstack.enterthemeeting.com/m/KCWPKB2X
13-Jan-2015	WIN ONE OF FOUR TRAVEL GRANTS TO COUCHDB DAY HAMBURG	http://hood.ie/blog/travel-grants-for-couchdb-day.html
13-Jan-2015	"Trish Zornio ""Don’t let fear keep you from the help you need"" At Ignite Boulder 24"	https://www.youtube.com/watch?v=P8G0d02Le84
20-Jan-2015	The Weird Science of Naming New Products	http://www.nytimes.com/2015/01/18/magazine/the-weird-science-of-naming-new-products.html
20-Jan-2015	A Speech Is Not an Essay	https://hbr.org/2014/09/a-speech-is-not-an-essay/
20-Jan-2015	Speechwriters, don't write differently for women. Write differently for men.	http://eloquentwoman.blogspot.de/2015/01/speechwriters-dont-write-differently.html
20-Jan-2015	“A word after a word after a word is power.”	http://tinyletter.com/jenmyers/letters/a-word-after-a-word-after-a-word-is-power
20-Jan-2015	Do Better at Conference Diversity	http://conference.hopper.org.nz/
20-Jan-2015	168. ELEANOR ROOSEVELT: Courage is exhilarating	http://zenpencils.com/comic/roosevelt/
27-Jan-2015	Conference Proposals that Don’t Suck	http://alistapart.com/article/conference-proposals-that-dont-suck
